ingest_order,wave,wave_label,product_id,product_name,relative_path,format,source_type,document_date,author,title,contains_decisions,contains_action_items,status_signal,demo_effect
1,wave-00-baseline,Baseline,dental,DENTAL / DENCLASS,wave-00-baseline/products/dental/project-docs/2026-03-24-dental-product-charter.docx,docx,product_charter,2026-03-24,Jaden Cole,Dental Product Charter,False,False,baseline,"Creates the foundational product identity, mission, scope, and stakeholder context for Dental."
2,wave-00-baseline,Baseline,dental,DENTAL / DENCLASS,wave-00-baseline/products/dental/project-docs/2026-03-25-dental-system-architecture-overview.docx,docx,architecture_doc,2026-03-25,Ruben Alvarez,Dental System Architecture Overview,False,False,baseline,"Adds technical context for FHIR migration, interfaces, and environment dependencies."
3,wave-00-baseline,Baseline,dental,DENTAL / DENCLASS,wave-00-baseline/products/dental/project-docs/2026-03-26-dental-stakeholder-roster.md,md,stakeholder_roster,2026-03-26,Jaden Cole,Dental Stakeholder Roster,False,False,baseline,Enables Ask to answer 'who are the stakeholders' and grounds the reporting chain.
4,wave-00-baseline,Baseline,dental,DENTAL / DENCLASS,wave-00-baseline/products/dental/project-docs/2026-03-27-dental-pi4-roadmap-and-objectives.md,md,roadmap,2026-03-27,Benjiman Jennings,Dental PI 4 Roadmap and Objectives,True,False,baseline,Sets the initial PI objectives and establishes what success should look like before disruption.
5,wave-00-baseline,Baseline,dental,DENTAL / DENCLASS,wave-00-baseline/products/dental/weekly-updates/2026-03-28-dental-weekly-update-sprint1.md,md,weekly_update,2026-03-28,Jaden Cole,Dental Weekly Update — Sprint 1,False,True,healthy,Introduces the first product narrative and demonstrates baseline freshness.
6,wave-00-baseline,Baseline,dental,DENTAL / DENCLASS,wave-00-baseline/products/dental/weekly-updates/2026-04-03-dental-weekly-update-sprint1-closeout.md,md,weekly_update,2026-04-03,Jaden Cole,Dental Weekly Update — Sprint 1 Closeout,False,True,caution,Closes Sprint 1 and mentions pending vendor dependency concerns before the escalation begins.
7,wave-00-baseline,Baseline,dental,DENTAL / DENCLASS,wave-00-baseline/products/dental/structured/2026-04-03-dental-risks-and-issues-export.csv,csv,risk_export,2026-04-03,Jaden Cole,Dental Risks and Issues Export,False,False,caution,"Provides structured baseline risks with owner, severity, and mitigation fields."
8,wave-00-baseline,Baseline,dental,DENTAL / DENCLASS,wave-00-baseline/products/dental/structured/2026-04-03-dental-blockers-export.csv,csv,blocker_export,2026-04-03,Jaden Cole,Dental Blockers Export,False,False,caution,Adds structured blockers that should populate the Data tab and knowledge health coverage.
9,wave-00-baseline,Baseline,dental,DENTAL / DENCLASS,wave-00-baseline/products/dental/structured/2026-04-03-dental-pi-objectives-export.csv,csv,pi_objectives_export,2026-04-03,Benjiman Jennings,Dental PI Objectives Export,False,False,baseline,Supplies structured PI objective progress to anchor reporting and explain alignment to roadmap.
10,wave-00-baseline,Baseline,dental,DENTAL / DENCLASS,wave-00-baseline/products/dental/ado/2026-04-03-dental-ado-sprint-export.csv,csv,ado_export,2026-04-03,Whitney Core Force,Dental ADO Sprint Export,False,False,baseline,Introduces delivery artifacts and establishes the initial sprint board reality.
11,wave-00-baseline,Baseline,dental,DENTAL / DENCLASS,wave-00-baseline/products/dental/emails/2026-03-31-email-jaden-to-lowry-kickoff-and-dependencies.eml,eml,email,2026-03-31,Jaden Cole,Email — Kickoff and Dependencies,False,True,baseline,Seeds the first email thread referencing environment dependencies and ownership.
12,wave-00-baseline,Baseline,dental,DENTAL / DENCLASS,wave-00-baseline/products/dental/emails/2026-04-02-email-lowry-to-jaden-sandbox-concern.eml,eml,email,2026-04-02,Lowry Beckett,Email — Sandbox Concern,False,True,caution,Introduces early warning signs about the vendor sandbox that later become a formal risk.
13,wave-00-baseline,Baseline,dental,DENTAL / DENCLASS,wave-00-baseline/products/dental/transcripts/2026-04-03-dental-planning-sync-transcript.md,md,transcript,2026-04-03,Teams Auto Transcript,Dental Planning Sync Transcript,True,True,baseline,Adds the first conversational artifact with explicit decisions and action items.
14,wave-00-baseline,Baseline,dental,DENTAL / DENCLASS,wave-00-baseline/products/dental/attachments/2026-04-03-dental-executive-overview-deck.pptx,pptx,slide_deck,2026-04-03,Benjiman Jennings,Dental Executive Overview Deck,False,False,baseline,"Adds a polished leadership-facing artifact summarizing baseline posture, scope, and dependencies."
15,wave-00-baseline,Baseline,dental,DENTAL / DENCLASS,wave-00-baseline/products/dental/attachments/2026-04-03-dental-vendor-timeline.xlsx,xlsx,spreadsheet_attachment,2026-04-03,Lowry Beckett,Dental Vendor Timeline Workbook,False,False,baseline,Adds milestone-level vendor schedule detail that later diverges from reality.
16,wave-00-baseline,Baseline,optima,OPTIMA Care Coordination,wave-00-baseline/products/optima/project-docs/2026-03-24-optima-product-brief.md,md,product_brief,2026-03-24,Anna Kim,Optima Product Brief,False,False,healthy,Establishes a well-documented healthy contrast product.
17,wave-00-baseline,Baseline,optima,OPTIMA Care Coordination,wave-00-baseline/products/optima/weekly-updates/2026-03-29-optima-weekly-update.md,md,weekly_update,2026-03-29,Anna Kim,Optima Weekly Update — March 29,False,True,healthy,Shows a high-quality weekly narrative with clear accomplishments and next steps.
18,wave-00-baseline,Baseline,optima,OPTIMA Care Coordination,wave-00-baseline/products/optima/weekly-updates/2026-04-05-optima-weekly-update.md,md,weekly_update,2026-04-05,Anna Kim,Optima Weekly Update — April 5,False,True,healthy,Reinforces consistent freshness for the healthy product card.
19,wave-00-baseline,Baseline,optima,OPTIMA Care Coordination,wave-00-baseline/products/optima/structured/2026-04-05-optima-risks-export.csv,csv,risk_export,2026-04-05,Anna Kim,Optima Risks Export,False,False,healthy,Keeps the product low-risk while demonstrating structured ingestion parity.
20,wave-00-baseline,Baseline,optima,OPTIMA Care Coordination,wave-00-baseline/products/optima/transcripts/2026-04-04-optima-sprint-review-transcript.md,md,transcript,2026-04-04,Teams Auto Transcript,Optima Sprint Review Transcript,True,True,healthy,Shows what good transcript hygiene looks like and why Optima remains confident.
21,wave-00-baseline,Baseline,optima,OPTIMA Care Coordination,wave-00-baseline/products/optima/emails/2026-04-02-email-anna-to-sandy-feature-approval.eml,eml,email,2026-04-02,Anna Kim,Email — Feature Approval,True,False,healthy,Provides a clean approval thread for a healthy product.
22,wave-00-baseline,Baseline,optima,OPTIMA Care Coordination,wave-00-baseline/products/optima/ado/2026-04-05-optima-ado-export.csv,csv,ado_export,2026-04-05,Whitney Core Force,Optima ADO Export,False,False,healthy,Adds current work-item evidence to support clean report generation for Optima.
23,wave-00-baseline,Baseline,essence,ESSENCE Transition Support,wave-00-baseline/products/essence/project-docs/2026-03-23-essence-handoff-memo.docx,docx,handoff_memo,2026-03-23,Previous Contractor Team,ESSENCE Handoff Memo,False,False,risk,Introduces an intentionally incomplete handoff artifact to demonstrate continuity failure.
24,wave-00-baseline,Baseline,essence,ESSENCE Transition Support,wave-00-baseline/products/essence/weekly-updates/2026-03-30-essence-weekly-update.md,md,weekly_update,2026-03-30,Commander Melissa Jones,ESSENCE Weekly Update — March 30,False,True,risk,"Shows a sparse, weak-quality weekly update with obvious gaps."
25,wave-00-baseline,Baseline,essence,ESSENCE Transition Support,wave-00-baseline/products/essence/structured/2026-04-02-essence-risks-export.csv,csv,risk_export,2026-04-02,Commander Melissa Jones,ESSENCE Risks Export,False,False,risk,Creates minimal structured evidence but not enough to offset missing narrative continuity.
26,wave-00-baseline,Baseline,essence,ESSENCE Transition Support,wave-00-baseline/products/essence/structured/2026-04-02-essence-blockers-export.csv,csv,blocker_export,2026-04-02,Commander Melissa Jones,ESSENCE Blockers Export,False,False,risk,Adds blocker data while still leaving the product obviously under-documented.
27,wave-00-baseline,Baseline,essence,ESSENCE Transition Support,wave-00-baseline/products/essence/emails/2026-03-28-email-previous-contractor-to-jones-open-items.eml,eml,email,2026-03-28,Former Contractor PM,Email — ESSENCE Open Items,False,True,risk,Creates a fragmentary email trail referencing missing files and unresolved dependencies.
28,wave-01-operational,Operational Week,dental,DENTAL / DENCLASS,wave-01-operational/products/dental/emails/2026-04-07-email-dr-sohl-to-jaden-test-schedule-approval.eml,eml,email,2026-04-07,Dr. Minji Sohl,Email — Test Schedule Approval,True,False,healthy,Adds a stakeholder approval event that the Ask panel can cite.
29,wave-01-operational,Operational Week,dental,DENTAL / DENCLASS,wave-01-operational/products/dental/emails/2026-04-08-email-vendor-to-lowry-sandbox-delay.eml,eml,email,2026-04-08,Elena Markovic,Email — Vendor Sandbox Delay,False,True,risk,Introduces hard evidence of the vendor delay that will elevate risk and reduce confidence.
30,wave-01-operational,Operational Week,dental,DENTAL / DENCLASS,wave-01-operational/products/dental/transcripts/2026-04-09-dental-sprint2-review-transcript.docx,docx,transcript,2026-04-09,Teams Auto Transcript,Dental Sprint 2 Review Transcript,True,True,risk,Provides the first high-value decision-rich transcript used by Ask and reporting.
31,wave-01-operational,Operational Week,dental,DENTAL / DENCLASS,wave-01-operational/products/dental/project-docs/2026-04-09-dental-decision-memo-fhir-priority.docx,docx,decision_memo,2026-04-09,Benjiman Jennings,Dental Decision Memo — FHIR Priority,True,False,risk,Codifies the leadership decision to prioritize FHIR over new feature work.
32,wave-01-operational,Operational Week,dental,DENTAL / DENCLASS,wave-01-operational/products/dental/weekly-updates/2026-04-10-dental-weekly-update-sprint2.md,md,weekly_update,2026-04-10,Jaden Cole,Dental Weekly Update — Sprint 2,False,True,risk,Refreshes the narrative and captures the first clear 'at risk' posture.
33,wave-01-operational,Operational Week,dental,DENTAL / DENCLASS,wave-01-operational/products/dental/structured/2026-04-10-dental-risks-and-issues-export.csv,csv,risk_export,2026-04-10,Jaden Cole,Dental Risks and Issues Export — Updated,False,False,risk,Escalates the FHIR migration dependency from medium to high.
34,wave-01-operational,Operational Week,dental,DENTAL / DENCLASS,wave-01-operational/products/dental/ado/2026-04-10-dental-ado-export.csv,csv,ado_export,2026-04-10,Whitney Core Force,Dental ADO Export — Updated,False,False,risk,"Shows stories being moved, blocked, or deferred in response to the dependency change."
35,wave-01-operational,Operational Week,dental,DENTAL / DENCLASS,wave-01-operational/products/dental/project-docs/2026-04-09-dental-security-assessment-summary.pdf,pdf,security_summary,2026-04-09,Bromley Security Team,Dental Security Assessment Summary,False,False,caution,Adds a PDF artifact with FHIR endpoint security context and mitigations.
36,wave-01-operational,Operational Week,optima,OPTIMA Care Coordination,wave-01-operational/products/optima/emails/2026-04-09-email-anna-to-pierce-demo-readout.eml,eml,email,2026-04-09,Anna Kim,Email — Demo Readout,False,True,healthy,Adds another confidence-building coordination thread for Optima.
37,wave-01-operational,Operational Week,optima,OPTIMA Care Coordination,wave-01-operational/products/optima/project-docs/2026-04-10-optima-decision-log-update.md,md,decision_log,2026-04-10,Anna Kim,Optima Decision Log Update,True,False,healthy,Creates explicit decision lineage to contrast against weaker products.
38,wave-02-escalation,Escalation Week,dental,DENTAL / DENCLASS,wave-02-escalation/products/dental/emails/2026-04-11-email-jaden-to-benjiman-blocker-escalation.eml,eml,email,2026-04-11,Jaden Cole,Email — Blocker Escalation,False,True,risk,Shows the PM escalating the issue as it becomes operationally material.
39,wave-02-escalation,Escalation Week,dental,DENTAL / DENCLASS,wave-02-escalation/products/dental/emails/2026-04-12-email-juan-to-jaden-cost-impact-request.eml,eml,email,2026-04-12,Juan Rivera,Email — Cost Impact Request,False,True,risk,Introduces a stakeholder request that can be surfaced in Ask and reports.
40,wave-02-escalation,Escalation Week,dental,DENTAL / DENCLASS,wave-02-escalation/products/dental/transcripts/2026-04-12-dental-leadership-sync-transcript.docx,docx,transcript,2026-04-12,Teams Auto Transcript,Dental Leadership Sync Transcript,True,True,risk,Adds a second decision-rich meeting and explains how leadership is steering the response.
41,wave-02-escalation,Escalation Week,dental,DENTAL / DENCLASS,wave-02-escalation/products/dental/project-docs/2026-04-12-dental-release-plan-revision.md,md,release_plan,2026-04-12,Jaden Cole,Dental Release Plan Revision,True,False,risk,Documents the delivery impact of the delay and how scope is reshaped around critical path work.
42,wave-02-escalation,Escalation Week,dental,DENTAL / DENCLASS,wave-02-escalation/products/dental/weekly-updates/2026-04-13-dental-weekly-update-sprint2-end.md,md,weekly_update,2026-04-13,Jaden Cole,Dental Weekly Update — Sprint 2 End,False,True,risk,Captures the product at its most stressed point before recovery evidence arrives.
43,wave-02-escalation,Escalation Week,dental,DENTAL / DENCLASS,wave-02-escalation/products/dental/structured/2026-04-13-dental-blockers-export.csv,csv,blocker_export,2026-04-13,Jaden Cole,Dental Blockers Export — Escalated,False,False,risk,Introduces active blockers that should populate the Data tab and lower health confidence.
44,wave-02-escalation,Escalation Week,dental,DENTAL / DENCLASS,wave-02-escalation/products/dental/structured/2026-04-13-dental-action-items-export.csv,csv,action_item_export,2026-04-13,Jaden Cole,Dental Action Items Export,False,True,risk,"Adds structured action-item evidence that links meetings, risks, and blockers."
45,wave-02-escalation,Escalation Week,dental,DENTAL / DENCLASS,wave-02-escalation/products/dental/project-docs/2026-04-12-dental-security-assessment-v2.pdf,pdf,security_summary,2026-04-12,Bromley Security Team,Dental Security Assessment v2,False,False,caution,Shows a revised security posture after leadership re-scoping and mitigation planning.
46,wave-02-escalation,Escalation Week,dental,DENTAL / DENCLASS,wave-02-escalation/products/dental/ado/2026-04-13-dental-ado-export.csv,csv,ado_export,2026-04-13,Whitney Core Force,Dental ADO Export — Escalation,False,False,risk,"Captures deferred stories, newly blocked items, and the FHIR critical path."
47,wave-02-escalation,Escalation Week,essence,ESSENCE Transition Support,wave-02-escalation/products/essence/transcripts/2026-04-11-essence-handoff-working-session-transcript.md,md,transcript,2026-04-11,Teams Auto Transcript,ESSENCE Handoff Working Session Transcript,False,True,risk,Adds a late-stage continuity-recovery artifact that still exposes missing knowledge.
