billing_period_start,billing_period_end,line_item_usage_start_date,line_item_usage_end_date,line_item_product_code,line_item_usage_type,line_item_operation,line_item_usage_amount,line_item_unblended_cost,pricing_unit,product_region,resource_id,usage_account_id,payer_account_id,service,region,usage_hours,cost,data_source,scenario,technical_debt_event,anomaly_score,waste_driver,recommended_action,pmo_summary_line
2026-03-01,2026-03-31,2026-03-01T00:00:00+00:00,2026-03-01T01:00:00+00:00,AmazonEMR,EMR-InstanceUsage,RunJobFlow,72,1840.22,Hrs,us-gov-west-1,emr-00000,0000000000,synthetic-payer,AmazonEMR,us-gov-west-1,72,1840.22,synthetic,cluster_left_running,missed_shutdown_hook,high,missed shutdown automation,Bedrock flow scheduled cluster teardown check,EMR waste due to automation gap caused 72 excess compute hours
2026-03-01,2026-03-31,2026-03-01T03:00:00+00:00,2026-03-01T04:00:00+00:00,AmazonS3,TimedStorage-ByteHrs,StandardStorage,53.29,2.15,GB-Mo,us-gov-west-1,s3-00001,0000000001,synthetic-payer,AmazonS3,us-gov-east-1,53.29,2.15,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-01T06:00:00+00:00,2026-03-01T07:00:00+00:00,AmazonEC2,BoxUsage:m6i.2xlarge,RunInstances,3.12,0.95,Hrs,us-gov-west-1,ec2-00002,0000000002,synthetic-payer,AmazonEC2,us-gov-west-1,3.12,0.95,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-01T09:00:00+00:00,2026-03-01T10:00:00+00:00,AWSLambda,Lambda-GB-Second,Invoke,47.14,0.0,GB-Second,us-gov-west-1,lambda-00003,0000000003,synthetic-payer,AWSLambda,us-gov-east-1,47.14,0.0,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-01T12:00:00+00:00,2026-03-01T13:00:00+00:00,AWSGlue,Glue-ETL-DPU-Hour,StartJobRun,20.75,18.09,DPU-Hr,us-gov-west-1,glue-00004,0000000004,synthetic-payer,AWSGlue,us-gov-east-1,20.75,18.09,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-01T15:00:00+00:00,2026-03-01T16:00:00+00:00,AmazonEMR,EMR-InstanceUsage,RunJobFlow,20.73,352.71,Hrs,us-gov-east-1,emr-00005,0000000005,synthetic-payer,AmazonEMR,us-gov-west-1,20.73,352.71,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-01T18:00:00+00:00,2026-03-01T19:00:00+00:00,AmazonEC2,BoxUsage:m6i.2xlarge,RunInstances,27.97,10.07,Hrs,us-gov-east-1,ec2-00006,0000000006,synthetic-payer,AmazonEC2,us-gov-east-1,27.97,10.07,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-01T21:00:00+00:00,2026-03-01T22:00:00+00:00,AmazonBedrock,InputTokens,InvokeModel,4.08,0.04,1K-Tokens,us-gov-west-1,bedrock-00007,0000000007,synthetic-payer,AmazonBedrock,us-gov-east-1,4.08,0.04,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-02T00:00:00+00:00,2026-03-02T01:00:00+00:00,AmazonEC2,BoxUsage:m6i.2xlarge,RunInstances,40.19,21.84,Hrs,us-gov-east-1,ec2-00008,0000000008,synthetic-payer,AmazonEC2,us-gov-west-1,40.19,21.84,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-02T03:00:00+00:00,2026-03-02T04:00:00+00:00,AmazonEMR,EMR-InstanceUsage,RunJobFlow,89.59,1732.18,Hrs,us-gov-east-1,emr-00009,0000000009,synthetic-payer,AmazonEMR,us-gov-west-1,89.59,1732.18,synthetic,cluster_left_running,missed_shutdown_hook,high,missed shutdown automation,Bedrock flow scheduled cluster teardown check,EMR waste due to automation gap caused 90 excess compute hours
